id,group,area_red_neurite,area_red_soma,neurite_auto_count_total,neurite_auto_count_red,neurite_auto_count_yellow,soma_auto_count_total,soma_red_auto,soma_yellow_auto,n_projection,axonal termination,avg_area_red_neurite,avg_area_red_soma,avg_area_red_cell,avg_cell_auto_count_red,avg_cell_auto_count_yellow,avg_cell_count_sum,avg_cell_auto_count,avg_neurite_auto_count_total,avg_neurite_auto_count_red,avg_neurite_auto_count_yellow,avg_neurite_count_sum,avg_soma_auto_count_total,avg_soma_red_auto,avg_soma_yellow_auto,avg_soma_count_sum,avg_n_projection,avg_axonal_termination,original_fn,temperature,genotype
595988,unc-33(e204) 20C,2.74,1.39,6,5,1,5,2,3,0,0,1.37,0.695,2.065,3.5,2,5.5,5,3,2.5,0.5,3,2,1,1.5,2.5,0,0,"AMH59 20C, animal 114.oir",20°C,unc-33(e204)
141804,unc-33(e204) 20C,0.5,1.8,2,3,1,3,7,3,1,0,0.5,1.8,2.3,10,4,14,5,2,3,1,4,3,7,3,10,1,0,"AMH59 20C, animal 117.oir",20°C,unc-33(e204)
333365,unc-33(e204) 20C,0.94,1.57,3,3,0,1,1,0,1,0,0.94,1.57,2.51,4,0,4,4,3,3,0,3,1,1,0,1,1,0,"AMH59 20C, animal 115.oir",20°C,unc-33(e204)
666501,unc-33(e204) 20C,0.44,2.41,6,6,0,6,6,0,0,0,0.22,1.205,1.425,6,0,6,6,3,3,0,3,3,3,0,3,0,0,"AMH59 20C, animal 2.oir",20°C,unc-33(e204)
783475,unc-33(e204) 20C,0.57,0.56,5,3,2,1,3,0,0,0,0.57,0.56,1.13,6,2,8,6,5,3,2,5,1,3,0,3,0,0,"AMH59 20C, animal 104.oir",20°C,unc-33(e204)
785631,unc-33(e204) 20C,1.41,2.4,6,7,0,9,8,1,1,0,0.705,1.2,1.905,7.5,0.5,8,7.5,3,3.5,0,3.5,4.5,4,0.5,4.5,0.5,0,"AMH59 20C, animal 108.oir",20°C,unc-33(e204)
830812,unc-33(e204) 20C,0.63,2.43,7,7,0,8,8,0,0,0,0.315,1.215,1.53,7.5,0,7.5,7.5,3.5,3.5,0,3.5,4,4,0,4,0,0,"AMH59 20C, animal 4.oir",20°C,unc-33(e204)
273679,unc-33(e204) 20C,1.58,4.16,6,8,1,9,8,2,2,0,0.79,2.08,2.87,8,1.5,9.5,7.5,3,4,0.5,4.5,4.5,4,1,5,1,0,"AMH59 20C, animal 133.oir",20°C,unc-33(e204)
254604,unc-33(e204) 20C,0.65,2.52,7,9,0,10,9,1,1,0,0.325,1.26,1.585,9,0.5,9.5,8.5,3.5,4.5,0,4.5,5,4.5,0.5,5,0.5,0,"AMH59 20C, animal 109.oir",20°C,unc-33(e204)
656697,unc-33(e204) 20C,0.66,3.21,9,9,0,13,12,1,1,0,0.33,1.605,1.935,10.5,0.5,11,11,4.5,4.5,0,4.5,6.5,6,0.5,6.5,0.5,0,"AMH59 20C, animal 120.oir",20°C,unc-33(e204)
700384,unc-33(e204) 20C,0.52,2.56,5,9,0,15,13,2,1,0,0.26,1.28,1.54,11,1,12,10,2.5,4.5,0,4.5,7.5,6.5,1,7.5,0.5,0,"AMH59 20C, animal 122.oir",20°C,unc-33(e204)
693506,unc-33(e204) 20C,2.22,1.76,7,10,0,9,11,0,0,0,1.11,0.88,1.99,10.5,0,10.5,8,3.5,5,0,5,4.5,5.5,0,5.5,0,0,"AMH59 20C, animal 130.oir",20°C,unc-33(e204)
